Número da Partida,Vencedor (1 ou 2),Vitórias Jogador 1,Vitórias Jogador 2,Empates
1,0,0,0,1
2,-1,0,1,1
3,-1,0,2,1
4,-1,0,3,1
5,0,0,3,2
6,-1,0,4,2
7,-1,0,5,2
8,-1,0,6,2
9,-1,0,7,2
10,-1,0,8,2
11,0,0,8,3
12,-1,0,9,3
13,0,0,9,4
14,-1,0,10,4
15,-1,0,11,4
16,-1,0,12,4
17,-1,0,13,4
18,-1,0,14,4
19,-1,0,15,4
20,-1,0,16,4
21,-1,0,17,4
22,-1,0,18,4
23,-1,0,19,4
24,-1,0,20,4
25,0,0,20,5
26,0,0,20,6
27,-1,0,21,6
28,-1,0,22,6
29,-1,0,23,6
30,-1,0,24,6
31,-1,0,25,6
32,-1,0,26,6
33,-1,0,27,6
34,-1,0,28,6
35,-1,0,29,6
36,-1,0,30,6
37,-1,0,31,6
38,-1,0,32,6
39,-1,0,33,6
40,-1,0,34,6
41,-1,0,35,6
42,-1,0,36,6
43,-1,0,37,6
44,0,0,37,7
45,-1,0,38,7
46,-1,0,39,7
47,0,0,39,8
48,-1,0,40,8
49,-1,0,41,8
50,-1,0,42,8
51,-1,0,43,8
52,-1,0,44,8
53,-1,0,45,8
54,-1,0,46,8
55,0,0,46,9
56,-1,0,47,9
57,-1,0,48,9
58,-1,0,49,9
59,-1,0,50,9
60,-1,0,51,9
61,-1,0,52,9
62,-1,0,53,9
63,-1,0,54,9
64,-1,0,55,9
65,-1,0,56,9
66,-1,0,57,9
67,0,0,57,10
68,-1,0,58,10
69,0,0,58,11
70,-1,0,59,11
71,-1,0,60,11
72,-1,0,61,11
73,0,0,61,12
74,-1,0,62,12
75,0,0,62,13
76,0,0,62,14
77,-1,0,63,14
78,-1,0,64,14
79,-1,0,65,14
80,-1,0,66,14
81,-1,0,67,14
82,-1,0,68,14
83,-1,0,69,14
84,-1,0,70,14
85,-1,0,71,14
86,-1,0,72,14
87,-1,0,73,14
88,-1,0,74,14
89,0,0,74,15
90,-1,0,75,15
91,-1,0,76,15
92,-1,0,77,15
93,-1,0,78,15
94,-1,0,79,15
95,-1,0,80,15
96,-1,0,81,15
97,-1,0,82,15
98,-1,0,83,15
99,0,0,83,16
100,-1,0,84,16
