Número da Partida,Vencedor (1 ou 2),Vitórias Jogador 1,Vitórias Jogador 2,Empates
1,-1,0,1,0
2,-1,0,2,0
3,-1,0,3,0
4,-1,0,4,0
5,-1,0,5,0
6,-1,0,6,0
7,0,0,6,1
8,-1,0,7,1
9,-1,0,8,1
10,-1,0,9,1
11,-1,0,10,1
12,-1,0,11,1
13,-1,0,12,1
14,-1,0,13,1
15,-1,0,14,1
16,-1,0,15,1
17,-1,0,16,1
18,-1,0,17,1
19,-1,0,18,1
20,0,0,18,2
21,0,0,18,3
22,-1,0,19,3
23,-1,0,20,3
24,-1,0,21,3
25,-1,0,22,3
26,-1,0,23,3
27,-1,0,24,3
28,-1,0,25,3
29,0,0,25,4
30,-1,0,26,4
31,0,0,26,5
32,-1,0,27,5
33,0,0,27,6
34,-1,0,28,6
35,-1,0,29,6
36,0,0,29,7
37,-1,0,30,7
38,-1,0,31,7
39,-1,0,32,7
40,0,0,32,8
41,-1,0,33,8
42,-1,0,34,8
43,-1,0,35,8
44,-1,0,36,8
45,-1,0,37,8
46,-1,0,38,8
47,-1,0,39,8
48,0,0,39,9
49,-1,0,40,9
50,-1,0,41,9
51,-1,0,42,9
52,-1,0,43,9
53,-1,0,44,9
54,-1,0,45,9
55,-1,0,46,9
56,-1,0,47,9
57,-1,0,48,9
58,-1,0,49,9
59,0,0,49,10
60,-1,0,50,10
61,-1,0,51,10
62,-1,0,52,10
63,-1,0,53,10
64,-1,0,54,10
65,-1,0,55,10
66,-1,0,56,10
67,-1,0,57,10
68,-1,0,58,10
69,-1,0,59,10
70,0,0,59,11
71,-1,0,60,11
72,-1,0,61,11
73,-1,0,62,11
74,-1,0,63,11
75,-1,0,64,11
76,-1,0,65,11
77,-1,0,66,11
78,-1,0,67,11
79,-1,0,68,11
80,0,0,68,12
81,-1,0,69,12
82,-1,0,70,12
83,-1,0,71,12
84,-1,0,72,12
85,-1,0,73,12
86,-1,0,74,12
87,-1,0,75,12
88,0,0,75,13
89,-1,0,76,13
90,-1,0,77,13
91,-1,0,78,13
92,-1,0,79,13
93,-1,0,80,13
94,-1,0,81,13
95,-1,0,82,13
96,-1,0,83,13
97,-1,0,84,13
98,-1,0,85,13
99,-1,0,86,13
100,-1,0,87,13
101,-1,0,88,13
102,-1,0,89,13
103,-1,0,90,13
104,-1,0,91,13
105,-1,0,92,13
106,0,0,92,14
107,-1,0,93,14
108,0,0,93,15
109,-1,0,94,15
110,-1,0,95,15
111,0,0,95,16
112,-1,0,96,16
113,-1,0,97,16
114,-1,0,98,16
115,-1,0,99,16
116,-1,0,100,16
117,-1,0,101,16
118,-1,0,102,16
119,-1,0,103,16
120,-1,0,104,16
121,-1,0,105,16
122,-1,0,106,16
123,-1,0,107,16
124,-1,0,108,16
125,0,0,108,17
126,-1,0,109,17
127,-1,0,110,17
128,-1,0,111,17
129,-1,0,112,17
130,-1,0,113,17
131,-1,0,114,17
132,-1,0,115,17
133,-1,0,116,17
134,0,0,116,18
135,-1,0,117,18
136,-1,0,118,18
137,-1,0,119,18
138,-1,0,120,18
139,-1,0,121,18
140,-1,0,122,18
141,0,0,122,19
142,-1,0,123,19
143,-1,0,124,19
144,-1,0,125,19
145,-1,0,126,19
146,-1,0,127,19
147,-1,0,128,19
148,0,0,128,20
149,-1,0,129,20
150,0,0,129,21
151,-1,0,130,21
152,-1,0,131,21
153,-1,0,132,21
154,-1,0,133,21
155,0,0,133,22
156,0,0,133,23
157,-1,0,134,23
158,-1,0,135,23
159,-1,0,136,23
160,-1,0,137,23
161,-1,0,138,23
162,-1,0,139,23
163,-1,0,140,23
164,-1,0,141,23
165,-1,0,142,23
166,-1,0,143,23
167,0,0,143,24
168,-1,0,144,24
169,0,0,144,25
170,0,0,144,26
171,0,0,144,27
172,-1,0,145,27
173,-1,0,146,27
174,-1,0,147,27
175,-1,0,148,27
176,-1,0,149,27
177,-1,0,150,27
178,-1,0,151,27
179,-1,0,152,27
180,-1,0,153,27
181,-1,0,154,27
182,-1,0,155,27
183,-1,0,156,27
184,0,0,156,28
185,0,0,156,29
186,-1,0,157,29
187,-1,0,158,29
188,-1,0,159,29
189,-1,0,160,29
190,-1,0,161,29
191,-1,0,162,29
192,0,0,162,30
193,-1,0,163,30
194,-1,0,164,30
195,-1,0,165,30
196,-1,0,166,30
197,-1,0,167,30
198,-1,0,168,30
199,-1,0,169,30
200,0,0,169,31
201,-1,0,170,31
202,-1,0,171,31
203,-1,0,172,31
204,-1,0,173,31
205,-1,0,174,31
206,0,0,174,32
207,-1,0,175,32
208,-1,0,176,32
209,-1,0,177,32
210,-1,0,178,32
211,-1,0,179,32
212,0,0,179,33
213,0,0,179,34
214,-1,0,180,34
215,-1,0,181,34
216,-1,0,182,34
217,-1,0,183,34
218,-1,0,184,34
219,-1,0,185,34
220,0,0,185,35
221,-1,0,186,35
222,-1,0,187,35
223,-1,0,188,35
224,-1,0,189,35
225,-1,0,190,35
226,-1,0,191,35
227,-1,0,192,35
228,-1,0,193,35
229,-1,0,194,35
230,0,0,194,36
231,0,0,194,37
232,-1,0,195,37
233,-1,0,196,37
234,0,0,196,38
235,-1,0,197,38
